Task_ID,Device_ID,Arrival_Time,Task_Size_MB,Deadline_s,Priority_Level,Network_Latency_Edge_ms,Network_Latency_Cloud_ms
TASK_75,DEVICE_14,59,12,13,Normal,10,52
TASK_76,DEVICE_14,60,29,29,High,7,54
TASK_77,DEVICE_15,61,22,69,Normal,7,62
TASK_78,DEVICE_16,61,29,33,High,7,96
TASK_79,DEVICE_11,63,16,59,High,7,95
TASK_80,DEVICE_17,64,19,58,Normal,6,80
TASK_81,DEVICE_50,64,30,60,High,10,65
TASK_82,DEVICE_42,64,45,45,High,10,99
TASK_83,DEVICE_40,65,49,75,Normal,10,81
TASK_84,DEVICE_38,65,30,88,Normal,8,71
TASK_85,DEVICE_39,65,36,43,Normal,9,78
TASK_86,DEVICE_49,66,14,45,High,10,71
TASK_87,DEVICE_38,66,20,15,High,7,92
TASK_88,DEVICE_4,68,11,48,High,7,52
TASK_89,DEVICE_42,70,21,51,High,10,59
TASK_90,DEVICE_25,71,27,67,Normal,10,91
TASK_91,DEVICE_18,73,30,21,Normal,7,70
TASK_92,DEVICE_44,73,25,12,Normal,8,65
TASK_93,DEVICE_3,74,26,27,Normal,5,61
TASK_94,DEVICE_40,74,11,49,Normal,5,51
TASK_95,DEVICE_21,74,18,30,Normal,10,90
TASK_96,DEVICE_42,76,19,24,Normal,6,73
TASK_97,DEVICE_6,77,11,35,Normal,10,84
TASK_98,DEVICE_40,78,13,17,Normal,10,79
TASK_99,DEVICE_11,79,12,96,High,5,79
TASK_100,DEVICE_16,80,27,51,Normal,7,96
TASK_101,DEVICE_28,80,33,53,Normal,10,84
TASK_102,DEVICE_9,80,22,23,High,7,68
TASK_103,DEVICE_18,82,35,87,High,7,99
TASK_104,DEVICE_18,84,34,11,Normal,6,57
TASK_105,DEVICE_10,85,43,46,Normal,7,75
TASK_106,DEVICE_19,85,39,78,Normal,5,98
TASK_107,DEVICE_1,88,22,47,Normal,8,89
TASK_108,DEVICE_1,88,46,50,High,8,56
TASK_109,DEVICE_32,92,43,71,Normal,9,79
TASK_110,DEVICE_16,92,21,69,Normal,10,56
TASK_111,DEVICE_4,92,18,23,Normal,5,52
TASK_112,DEVICE_11,94,35,98,Normal,7,50
TASK_113,DEVICE_19,94,28,93,High,8,85
TASK_114,DEVICE_49,95,39,11,High,5,74
TASK_115,DEVICE_21,95,48,79,High,8,86
TASK_116,DEVICE_1,97,49,26,Normal,7,50
TASK_117,DEVICE_14,97,38,98,High,8,64
TASK_118,DEVICE_26,98,7,37,Normal,10,86
TASK_119,DEVICE_42,98,41,75,Normal,10,62
TASK_120,DEVICE_45,101,47,44,High,9,89
TASK_121,DEVICE_42,102,44,14,High,9,57
TASK_122,DEVICE_41,102,30,74,High,8,54
TASK_123,DEVICE_37,102,27,49,Normal,5,58
TASK_124,DEVICE_29,102,48,85,High,10,50
TASK_125,DEVICE_8,104,43,65,Normal,5,85
TASK_126,DEVICE_40,106,19,45,Normal,5,84
TASK_127,DEVICE_18,107,8,54,Normal,8,51
TASK_128,DEVICE_22,107,33,32,Normal,5,89
TASK_129,DEVICE_27,108,26,56,Normal,10,72
TASK_130,DEVICE_34,108,29,40,Normal,7,58
TASK_131,DEVICE_6,109,17,20,High,9,83
TASK_132,DEVICE_5,112,22,19,High,7,95
TASK_133,DEVICE_30,112,37,76,Normal,5,63
TASK_134,DEVICE_22,116,20,23,Normal,7,53
TASK_135,DEVICE_33,116,49,89,Normal,10,79
TASK_136,DEVICE_5,117,46,83,High,10,80
TASK_137,DEVICE_28,117,48,19,High,5,87
TASK_138,DEVICE_33,117,6,85,Normal,8,60
TASK_139,DEVICE_32,119,39,10,High,7,84
TASK_140,DEVICE_20,120,46,14,Normal,8,57
TASK_141,DEVICE_46,122,38,29,Normal,8,52
TASK_142,DEVICE_16,124,34,17,Normal,6,63
TASK_143,DEVICE_10,126,17,52,Normal,5,62
TASK_144,DEVICE_34,126,17,85,Normal,9,94
TASK_145,DEVICE_34,130,22,10,High,10,81
TASK_146,DEVICE_14,132,36,66,Normal,10,83
TASK_147,DEVICE_29,135,36,73,Normal,5,94
TASK_148,DEVICE_15,136,39,93,Normal,9,68
TASK_149,DEVICE_9,137,43,37,High,10,87
TASK_150,DEVICE_9,138,50,46,Normal,5,65
TASK_151,DEVICE_25,138,33,56,Normal,10,51
TASK_152,DEVICE_1,139,33,85,High,8,89
TASK_153,DEVICE_29,139,48,46,High,7,66
TASK_154,DEVICE_24,140,20,58,Normal,7,83
TASK_155,DEVICE_31,140,48,53,Normal,10,91
TASK_156,DEVICE_41,142,14,65,Normal,6,65
TASK_157,DEVICE_14,143,34,37,High,9,87
TASK_158,DEVICE_49,143,29,88,High,9,51
TASK_159,DEVICE_12,144,43,15,Normal,9,51
TASK_160,DEVICE_30,147,24,70,Normal,8,75
TASK_161,DEVICE_4,147,9,29,Normal,9,62
TASK_162,DEVICE_24,148,5,87,Normal,7,96
TASK_163,DEVICE_42,149,34,11,Normal,8,80
TASK_164,DEVICE_49,149,7,82,Normal,5,83
TASK_165,DEVICE_49,152,49,46,Normal,9,88
TASK_166,DEVICE_40,152,18,29,Normal,9,52
TASK_167,DEVICE_8,152,34,35,Normal,5,57
TASK_168,DEVICE_5,152,8,38,Normal,9,72
TASK_169,DEVICE_49,154,22,10,Normal,5,63
TASK_170,DEVICE_9,154,41,44,High,8,76
TASK_171,DEVICE_48,157,29,79,Normal,7,78
TASK_172,DEVICE_44,158,5,68,High,5,88
TASK_173,DEVICE_24,158,50,78,Normal,6,88
TASK_174,DEVICE_21,159,19,42,Normal,5,50
TASK_175,DEVICE_20,159,13,60,Normal,9,66
TASK_176,DEVICE_43,159,19,87,High,8,90
TASK_177,DEVICE_33,159,28,21,Normal,10,79
TASK_178,DEVICE_29,161,8,29,Normal,8,62
TASK_179,DEVICE_45,161,16,62,High,10,70
TASK_180,DEVICE_4,162,41,97,High,5,68
TASK_181,DEVICE_35,162,41,52,High,7,68
TASK_182,DEVICE_25,163,47,98,High,6,74
TASK_183,DEVICE_23,165,10,59,Normal,8,71
TASK_184,DEVICE_43,166,43,38,Normal,9,80
TASK_185,DEVICE_3,168,50,66,Normal,10,66
TASK_186,DEVICE_46,168,28,48,Normal,9,72
TASK_187,DEVICE_2,168,15,65,High,7,81
TASK_188,DEVICE_29,169,17,52,Normal,10,59
TASK_189,DEVICE_32,171,38,59,High,8,59
TASK_190,DEVICE_14,172,29,32,Normal,5,85
TASK_191,DEVICE_4,173,11,53,Normal,9,57
TASK_192,DEVICE_19,174,8,47,Normal,7,69
TASK_193,DEVICE_2,176,12,93,Normal,8,81
TASK_194,DEVICE_10,176,24,32,High,8,99
TASK_195,DEVICE_20,176,33,54,High,8,63
TASK_196,DEVICE_13,176,49,61,High,8,99
TASK_197,DEVICE_47,176,50,89,Normal,10,77
TASK_198,DEVICE_44,177,14,59,High,8,95
TASK_199,DEVICE_15,177,47,17,Normal,9,73
TASK_200,DEVICE_31,178,38,94,Normal,7,64
TASK_201,DEVICE_28,179,30,10,Normal,10,71
TASK_202,DEVICE_23,179,45,17,High,8,79
TASK_203,DEVICE_34,182,7,38,High,6,53
TASK_204,DEVICE_4,183,10,14,Normal,6,62
TASK_205,DEVICE_48,183,9,95,Normal,7,72
TASK_206,DEVICE_8,186,9,56,Normal,5,57
TASK_207,DEVICE_46,187,27,43,High,5,67
TASK_208,DEVICE_23,187,13,74,Normal,10,61
TASK_209,DEVICE_33,189,39,64,Normal,10,80
TASK_210,DEVICE_15,191,24,99,Normal,10,63
TASK_211,DEVICE_39,194,46,52,Normal,5,83
TASK_212,DEVICE_39,195,39,83,High,6,67
TASK_213,DEVICE_8,195,22,39,Normal,5,83
TASK_214,DEVICE_16,196,21,91,Normal,9,60
TASK_215,DEVICE_40,196,28,26,High,8,90
TASK_216,DEVICE_26,199,7,35,Normal,10,61
TASK_217,DEVICE_39,200,36,17,Normal,6,98
TASK_218,DEVICE_22,200,39,56,Normal,7,64
TASK_219,DEVICE_3,203,42,85,High,7,80
TASK_220,DEVICE_40,203,17,100,High,8,98
TASK_221,DEVICE_24,204,29,81,Normal,6,78
TASK_222,DEVICE_32,205,13,98,Normal,5,75
TASK_223,DEVICE_49,206,8,55,High,5,67
TASK_224,DEVICE_17,206,18,77,Normal,9,81
TASK_225,DEVICE_5,206,41,42,Normal,9,71
TASK_226,DEVICE_11,208,38,10,High,5,87
TASK_227,DEVICE_2,208,15,28,Normal,7,66
TASK_228,DEVICE_28,209,45,40,High,10,72
TASK_229,DEVICE_29,211,7,89,Normal,7,73
TASK_230,DEVICE_13,211,32,23,Normal,9,99
TASK_231,DEVICE_22,213,33,62,High,8,57
TASK_232,DEVICE_34,217,13,57,Normal,5,90
TASK_233,DEVICE_25,217,7,78,Normal,9,55
TASK_234,DEVICE_4,219,29,99,Normal,9,54
TASK_235,DEVICE_14,220,38,71,Normal,10,93
TASK_236,DEVICE_41,221,16,75,Normal,5,78
TASK_237,DEVICE_17,222,46,73,High,10,77
TASK_238,DEVICE_8,222,13,79,High,5,60
TASK_239,DEVICE_38,222,19,72,High,10,50
TASK_240,DEVICE_4,224,44,82,Normal,7,92
TASK_241,DEVICE_42,225,29,42,Normal,8,68
TASK_242,DEVICE_12,225,9,50,Normal,8,58
TASK_243,DEVICE_45,226,15,98,High,5,76
TASK_244,DEVICE_19,227,38,57,Normal,6,83
TASK_245,DEVICE_28,228,28,22,Normal,9,93
TASK_246,DEVICE_42,231,19,82,Normal,9,53
TASK_247,DEVICE_18,233,42,86,Normal,5,85
TASK_248,DEVICE_39,235,12,40,High,10,67
TASK_249,DEVICE_18,236,9,84,High,6,64
TASK_250,DEVICE_30,237,30,77,Normal,7,100
TASK_251,DEVICE_7,237,22,13,Normal,10,62
TASK_252,DEVICE_14,240,10,28,Normal,10,68
TASK_253,DEVICE_40,240,41,79,Normal,5,98
TASK_254,DEVICE_42,240,17,91,Normal,5,55
TASK_255,DEVICE_8,241,32,22,Normal,9,97
TASK_256,DEVICE_32,242,9,32,Normal,5,61
TASK_257,DEVICE_22,245,17,92,Normal,5,100
TASK_258,DEVICE_12,245,21,84,Normal,5,86
TASK_259,DEVICE_46,247,44,10,Normal,9,66
TASK_260,DEVICE_23,251,49,97,Normal,7,72
TASK_261,DEVICE_17,253,36,63,Normal,7,75
TASK_262,DEVICE_23,253,33,80,Normal,5,78
TASK_263,DEVICE_20,253,7,98,High,9,82
TASK_264,DEVICE_23,254,44,94,Normal,7,76
TASK_265,DEVICE_44,255,38,24,Normal,10,74
TASK_266,DEVICE_16,256,44,74,Normal,7,59
TASK_267,DEVICE_6,259,31,85,Normal,7,96
TASK_268,DEVICE_21,260,17,80,Normal,9,72
TASK_269,DEVICE_19,260,49,24,Normal,10,70
TASK_270,DEVICE_43,265,37,30,Normal,9,70
TASK_271,DEVICE_22,267,10,28,High,5,92
TASK_272,DEVICE_47,268,28,69,Normal,8,62
TASK_273,DEVICE_39,270,23,98,Normal,7,86
TASK_274,DEVICE_9,272,20,42,Normal,8,82
TASK_275,DEVICE_25,272,44,58,High,9,73
TASK_276,DEVICE_22,273,32,44,High,9,93
TASK_277,DEVICE_28,275,37,53,Normal,9,60
TASK_278,DEVICE_45,276,45,99,High,8,66
TASK_279,DEVICE_23,277,17,20,High,9,53
TASK_280,DEVICE_29,277,47,81,High,5,96
TASK_281,DEVICE_41,277,49,87,High,9,74
TASK_282,DEVICE_9,279,29,83,High,6,79
TASK_283,DEVICE_2,279,46,75,Normal,8,58
TASK_284,DEVICE_13,279,40,55,Normal,6,70
TASK_285,DEVICE_45,279,31,18,Normal,9,69
TASK_286,DEVICE_12,279,42,12,Normal,5,68
TASK_287,DEVICE_9,280,11,94,Normal,7,68
TASK_288,DEVICE_46,282,9,35,High,10,61
TASK_289,DEVICE_22,284,47,81,High,10,86
TASK_290,DEVICE_46,287,49,57,Normal,9,91
TASK_291,DEVICE_43,289,35,75,High,5,66
TASK_292,DEVICE_41,291,27,79,Normal,8,86
TASK_293,DEVICE_27,291,46,37,Normal,6,97
TASK_294,DEVICE_35,292,14,35,Normal,6,88
TASK_295,DEVICE_42,292,36,34,High,6,77
TASK_296,DEVICE_5,292,47,21,Normal,8,90
TASK_297,DEVICE_36,292,34,14,Normal,10,84
TASK_298,DEVICE_28,292,43,57,High,5,96
TASK_299,DEVICE_10,292,35,46,Normal,8,97
TASK_300,DEVICE_5,293,22,88,Normal,6,67
TASK_301,DEVICE_26,293,40,53,Normal,9,63
TASK_302,DEVICE_35,295,6,24,High,7,84
TASK_303,DEVICE_2,295,18,52,Normal,8,93
TASK_304,DEVICE_32,295,17,57,Normal,8,90
TASK_305,DEVICE_29,295,33,96,Normal,5,56
TASK_306,DEVICE_39,295,16,79,High,5,90
TASK_307,DEVICE_41,295,43,55,Normal,8,62
TASK_308,DEVICE_19,295,6,52,High,6,67
TASK_309,DEVICE_31,295,36,30,Normal,7,86
TASK_310,DEVICE_44,295,17,32,High,5,62
TASK_311,DEVICE_9,296,50,89,Normal,6,85
TASK_312,DEVICE_35,296,31,56,Normal,9,80
TASK_313,DEVICE_20,297,45,24,Normal,5,51
TASK_314,DEVICE_22,297,21,34,High,6,65
TASK_315,DEVICE_42,299,44,45,High,6,58
TASK_316,DEVICE_38,301,35,84,Normal,7,58
TASK_317,DEVICE_40,301,38,60,Normal,7,87
TASK_318,DEVICE_34,303,28,24,High,9,60
TASK_319,DEVICE_30,303,49,77,Normal,6,71
TASK_320,DEVICE_19,304,39,30,Normal,10,82
TASK_321,DEVICE_50,305,10,22,Normal,6,85
TASK_322,DEVICE_33,306,23,95,Normal,7,94
TASK_323,DEVICE_25,306,34,28,Normal,10,72
TASK_324,DEVICE_5,306,11,43,High,5,94
TASK_325,DEVICE_18,308,14,87,Normal,5,94
TASK_326,DEVICE_14,309,45,77,Normal,8,83
TASK_327,DEVICE_42,310,36,61,High,7,58
TASK_328,DEVICE_15,310,38,36,Normal,8,73
TASK_329,DEVICE_49,310,32,38,Normal,10,57
TASK_330,DEVICE_6,311,19,37,Normal,7,56
TASK_331,DEVICE_20,311,34,44,Normal,9,85
TASK_332,DEVICE_47,311,41,17,Normal,6,67
TASK_333,DEVICE_38,311,33,25,Normal,9,52
TASK_334,DEVICE_47,311,26,45,High,10,77
TASK_335,DEVICE_47,313,8,39,Normal,7,55
TASK_336,DEVICE_35,315,24,27,High,10,93
TASK_337,DEVICE_14,316,36,11,Normal,6,93
TASK_338,DEVICE_7,317,40,58,Normal,5,70
TASK_339,DEVICE_23,317,8,86,Normal,5,77
TASK_340,DEVICE_20,317,31,13,Normal,10,89
TASK_341,DEVICE_35,317,21,99,Normal,8,50
TASK_342,DEVICE_8,319,16,98,Normal,7,85
TASK_343,DEVICE_48,321,26,84,Normal,7,70
TASK_344,DEVICE_6,321,21,16,High,5,92
TASK_345,DEVICE_4,321,14,83,Normal,9,84
TASK_346,DEVICE_46,321,5,48,Normal,6,62
TASK_347,DEVICE_33,321,26,22,Normal,9,98
TASK_348,DEVICE_28,321,30,40,High,9,59
TASK_349,DEVICE_17,321,22,80,High,10,93
TASK_350,DEVICE_10,321,18,72,High,5,96
TASK_351,DEVICE_43,322,33,65,High,5,59
TASK_352,DEVICE_20,323,16,51,Normal,5,95
TASK_353,DEVICE_7,324,40,70,Normal,10,62
TASK_354,DEVICE_28,326,39,51,Normal,8,86
TASK_355,DEVICE_49,327,16,65,High,9,87
TASK_356,DEVICE_31,327,11,45,High,10,73
TASK_357,DEVICE_24,329,33,93,High,7,51
TASK_358,DEVICE_10,330,15,77,High,6,71
TASK_359,DEVICE_14,331,37,16,High,8,66
TASK_360,DEVICE_23,331,10,63,High,7,85
TASK_361,DEVICE_19,332,19,10,Normal,9,63
TASK_362,DEVICE_47,332,36,53,Normal,5,59
TASK_363,DEVICE_19,332,15,54,Normal,9,84
TASK_364,DEVICE_19,333,27,56,Normal,10,74
TASK_365,DEVICE_30,334,30,22,Normal,6,52
TASK_366,DEVICE_50,335,38,31,High,10,96
TASK_367,DEVICE_6,335,50,30,High,8,87
TASK_368,DEVICE_18,335,38,95,Normal,8,66
TASK_369,DEVICE_41,335,33,18,High,6,61
TASK_370,DEVICE_11,335,8,35,Normal,7,73
TASK_371,DEVICE_36,336,21,18,Normal,7,78
TASK_372,DEVICE_31,337,39,24,Normal,8,92
TASK_373,DEVICE_46,339,17,19,Normal,8,74
TASK_374,DEVICE_2,340,45,97,Normal,5,85
TASK_375,DEVICE_4,340,43,51,High,7,75
TASK_376,DEVICE_41,343,19,81,High,6,87
TASK_377,DEVICE_29,345,33,33,Normal,7,50
TASK_378,DEVICE_6,345,33,89,Normal,5,69
TASK_379,DEVICE_19,347,15,58,High,10,77
TASK_380,DEVICE_16,347,36,35,Normal,8,65
TASK_381,DEVICE_21,348,6,100,Normal,8,96
TASK_382,DEVICE_22,348,18,46,Normal,5,66
TASK_383,DEVICE_31,348,24,77,Normal,6,89
TASK_384,DEVICE_45,350,26,59,Normal,8,77
TASK_385,DEVICE_41,350,15,33,Normal,9,61
TASK_386,DEVICE_10,351,31,28,Normal,8,76
TASK_387,DEVICE_6,352,7,69,High,9,91
TASK_388,DEVICE_14,353,21,48,Normal,5,96
TASK_389,DEVICE_38,353,48,83,High,5,79
TASK_390,DEVICE_15,355,32,98,Normal,8,90
TASK_391,DEVICE_37,356,33,27,Normal,7,83
TASK_392,DEVICE_24,358,25,28,Normal,9,86
TASK_393,DEVICE_22,358,20,45,Normal,6,55
TASK_394,DEVICE_47,360,41,83,High,8,56
TASK_395,DEVICE_32,360,24,64,High,6,81
TASK_396,DEVICE_20,362,10,78,Normal,8,81
TASK_397,DEVICE_44,364,23,56,Normal,7,74
TASK_398,DEVICE_16,364,9,58,High,7,82
TASK_399,DEVICE_4,364,7,42,Normal,7,56
TASK_400,DEVICE_14,365,5,30,Normal,10,61
TASK_401,DEVICE_38,368,42,90,Normal,7,65
TASK_402,DEVICE_1,369,19,31,High,5,65
TASK_403,DEVICE_36,370,38,57,Normal,5,92
TASK_404,DEVICE_1,371,39,46,Normal,10,85
TASK_405,DEVICE_47,371,29,24,Normal,9,62
TASK_406,DEVICE_4,371,28,44,Normal,6,56
TASK_407,DEVICE_15,373,16,80,Normal,8,85
TASK_408,DEVICE_48,375,22,41,High,8,96
TASK_409,DEVICE_20,375,19,20,Normal,10,100
TASK_410,DEVICE_26,375,48,19,Normal,5,58
TASK_411,DEVICE_13,377,20,82,High,8,81
TASK_412,DEVICE_27,379,31,87,Normal,5,60
TASK_413,DEVICE_50,380,12,86,High,9,57
TASK_414,DEVICE_46,381,50,66,High,6,82
TASK_415,DEVICE_23,384,29,34,Normal,9,72
TASK_416,DEVICE_26,386,21,11,Normal,10,74
TASK_417,DEVICE_25,387,33,73,Normal,7,57
TASK_418,DEVICE_47,388,12,44,High,7,94
TASK_419,DEVICE_44,391,19,16,Normal,7,71
TASK_420,DEVICE_40,393,31,94,High,9,53
TASK_421,DEVICE_48,396,50,27,Normal,8,89
TASK_422,DEVICE_8,397,11,76,Normal,6,52
TASK_423,DEVICE_13,397,7,51,Normal,7,78
TASK_424,DEVICE_12,398,33,48,Normal,10,90
TASK_425,DEVICE_42,398,48,50,Normal,10,78
TASK_426,DEVICE_26,399,28,84,Normal,7,83
TASK_427,DEVICE_30,400,7,33,Normal,7,83
TASK_428,DEVICE_41,400,24,69,Normal,6,77
TASK_429,DEVICE_40,401,50,55,Normal,7,62
TASK_430,DEVICE_17,401,19,28,High,6,64
TASK_431,DEVICE_7,402,29,77,High,10,72
TASK_432,DEVICE_42,402,34,99,Normal,7,93
TASK_433,DEVICE_48,403,18,51,High,9,75
TASK_434,DEVICE_11,404,11,41,High,9,53
TASK_435,DEVICE_28,405,21,48,Normal,10,75
TASK_436,DEVICE_47,405,48,45,Normal,6,89
TASK_437,DEVICE_18,406,24,45,Normal,9,58
TASK_438,DEVICE_1,407,40,12,Normal,6,54
TASK_439,DEVICE_40,408,13,82,Normal,9,81
TASK_440,DEVICE_39,410,42,17,High,9,69
TASK_441,DEVICE_48,410,26,79,Normal,6,99
TASK_442,DEVICE_9,411,6,50,High,8,60
TASK_443,DEVICE_24,412,28,77,Normal,9,64
TASK_444,DEVICE_4,412,12,22,Normal,7,81
TASK_445,DEVICE_35,412,15,58,Normal,10,77
TASK_446,DEVICE_50,413,17,69,Normal,8,71
TASK_447,DEVICE_6,413,21,11,Normal,6,90
TASK_448,DEVICE_1,414,12,69,High,8,66
TASK_449,DEVICE_12,415,25,14,Normal,5,75
TASK_450,DEVICE_45,416,22,53,High,5,93
TASK_451,DEVICE_23,416,34,36,High,9,56
TASK_452,DEVICE_37,416,22,41,High,9,91
TASK_453,DEVICE_27,418,50,30,Normal,7,75
TASK_454,DEVICE_40,418,35,17,Normal,10,74
TASK_455,DEVICE_20,419,42,81,High,8,59
TASK_456,DEVICE_36,419,36,59,Normal,5,94
TASK_457,DEVICE_26,419,15,76,Normal,9,68
TASK_458,DEVICE_49,421,49,53,High,10,60
TASK_459,DEVICE_28,421,29,67,Normal,8,62
TASK_460,DEVICE_23,421,37,12,Normal,9,57
TASK_461,DEVICE_26,422,42,95,Normal,9,89
TASK_462,DEVICE_35,422,45,79,Normal,5,53
TASK_463,DEVICE_25,423,12,11,High,5,96
TASK_464,DEVICE_6,424,15,96,Normal,9,80
TASK_465,DEVICE_7,424,26,53,Normal,6,77
TASK_466,DEVICE_32,424,28,11,Normal,9,60
TASK_467,DEVICE_38,427,45,90,High,10,92
TASK_468,DEVICE_42,428,21,44,Normal,9,50
TASK_469,DEVICE_48,428,16,96,Normal,7,98
TASK_470,DEVICE_4,429,50,39,High,7,96
TASK_471,DEVICE_41,429,36,17,Normal,7,87
TASK_472,DEVICE_7,429,19,31,Normal,6,73
TASK_473,DEVICE_36,429,20,53,Normal,6,96
TASK_474,DEVICE_44,429,26,67,Normal,9,80
TASK_475,DEVICE_48,430,32,45,Normal,7,90
TASK_476,DEVICE_42,432,24,78,Normal,6,95
TASK_477,DEVICE_48,432,37,86,Normal,5,99
TASK_478,DEVICE_23,433,14,40,High,9,75
TASK_479,DEVICE_14,433,44,56,Normal,10,98
TASK_480,DEVICE_11,434,36,64,Normal,8,99
TASK_481,DEVICE_43,435,37,89,Normal,9,54
TASK_482,DEVICE_18,435,6,71,Normal,8,69
TASK_483,DEVICE_47,437,37,39,High,7,90
TASK_484,DEVICE_17,440,37,64,Normal,8,60
TASK_485,DEVICE_18,441,45,25,Normal,7,82
TASK_486,DEVICE_34,441,17,21,Normal,5,99
TASK_487,DEVICE_12,442,34,26,Normal,8,87
TASK_488,DEVICE_13,442,37,25,Normal,9,76
TASK_489,DEVICE_21,442,17,21,High,7,83
TASK_490,DEVICE_49,445,30,17,Normal,9,64
TASK_491,DEVICE_8,445,26,93,High,6,81
TASK_492,DEVICE_40,445,43,12,High,7,70
TASK_493,DEVICE_44,446,6,25,Normal,8,95
TASK_494,DEVICE_46,447,42,39,High,7,54
TASK_495,DEVICE_25,448,43,32,Normal,9,55
TASK_496,DEVICE_3,449,30,14,Normal,5,87
TASK_497,DEVICE_29,449,50,93,Normal,7,71
TASK_498,DEVICE_3,449,19,74,High,8,67
TASK_499,DEVICE_43,452,38,39,Normal,6,63
TASK_500,DEVICE_1,453,46,30,High,10,59
